2022-05-30T10:49:10.381816+0800 | INFO | demo_loguru | 50 | 这是一条info普通日志
2022-05-30T10:49:10.381816+0800 | DEBUG | demo_loguru | 51 | 这是一条debug调试日志
2022-05-30T10:49:10.381816+0800 | WARNING | demo_loguru | 52 | 这是一条warning警告日志
2022-05-30T10:49:10.382817+0800 | SUCCESS | demo_loguru | 53 | 这是一条success成功日志
2022-05-30T10:49:10.382817+0800 | ERROR | demo_loguru | 54 | 这是一条error错误日志
2022-05-30T10:55:23.017915+0800 | INFO | demo_loguru | 50 | 这是一条info普通日志
2022-05-30T10:55:23.017915+0800 | DEBUG | demo_loguru | 51 | 这是一条debug调试日志
2022-05-30T10:55:23.018915+0800 | WARNING | demo_loguru | 52 | 这是一条warning警告日志
2022-05-30T10:55:23.023269+0800 | SUCCESS | demo_loguru | 53 | 这是一条success成功日志
2022-05-30T10:55:23.023269+0800 | ERROR | demo_loguru | 54 | 这是一条error错误日志
2022-05-30T10:55:23.024290+0800 | INFO | demo_loguru | 59 | 我的名字叫{},今天星期{}
2022-05-30T10:55:36.370173+0800 | INFO | demo_loguru | 50 | 这是一条info普通日志
2022-05-30T10:55:36.370173+0800 | DEBUG | demo_loguru | 51 | 这是一条debug调试日志
2022-05-30T10:55:36.370173+0800 | WARNING | demo_loguru | 52 | 这是一条warning警告日志
2022-05-30T10:55:36.371174+0800 | SUCCESS | demo_loguru | 53 | 这是一条success成功日志
2022-05-30T10:55:36.371174+0800 | ERROR | demo_loguru | 54 | 这是一条error错误日志
2022-05-30T10:55:36.371174+0800 | INFO | demo_loguru | 59 | 我的名字叫{张三},今天星期{6}
2022-05-30T11:22:50.779432+0800 | INFO | demo_loguru | 50 | 这是一条info普通日志
2022-05-30T11:22:50.779432+0800 | DEBUG | demo_loguru | 51 | 这是一条debug调试日志
2022-05-30T11:22:50.779432+0800 | WARNING | demo_loguru | 52 | 这是一条warning警告日志
2022-05-30T11:22:50.779432+0800 | SUCCESS | demo_loguru | 53 | 这是一条success成功日志
2022-05-30T11:22:50.780434+0800 | ERROR | demo_loguru | 54 | 这是一条error错误日志
2022-05-30T11:22:50.780434+0800 | INFO | demo_loguru | 59 | 我的名字叫{张三},今天星期{6}
